Ticker,Name,Sector,Market Value,Weight (%),Notional Value,Shares,Price,Currency
AAPL,APPLE INC,Information Technology,"19,741,977,277.52",6.62,"19,741,977,277.52","133,463,881.00",147.92,USD
MSFT,MICROSOFT CORP,Information Technology,"16,643,768,699.04",5.58,"16,643,768,699.04","66,532,494.00",250.16,USD
AMZN,AMAZON COM INC,Consumer Discretionary,"7,427,187,992.64",2.49,"7,427,187,992.64","79,214,889.00",93.76,USD
NVDA,NVIDIA CORP,Information Technology,"5,222,791,972.01",1.75,"5,222,791,972.01","22,223,701.00",235.01,USD
TSLA,TESLA INC,Consumer Discretionary,"4,973,980,542.66",1.67,"4,973,980,542.66","23,955,982.00",207.63,USD
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,"4,899,129,915.02",1.64,"4,899,129,915.02","16,080,647.00",304.66,USD
GOOGL,ALPHABET INC CLASS A,Communication,"4,790,983,450.11",1.61,"4,790,983,450.11","53,310,153.00",89.87,USD
GOOG,ALPHABET INC CLASS C,Communication,"4,257,877,594.30",1.43,"4,257,877,594.30","47,257,243.00",90.10,USD
XOM,EXXON MOBIL CORP,Energy,"4,063,433,064.90",1.36,"4,063,433,064.90","36,756,518.00",110.55,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,"4,030,537,909.68",1.35,"4,030,537,909.68","8,339,274.00",483.32,USD
JPM,JPMORGAN CHASE & CO,Financials,"3,721,659,665.68",1.25,"3,721,659,665.68","26,179,373.00",142.16,USD
JNJ,JOHNSON & JOHNSON,Health Care,"3,631,592,433.92",1.22,"3,631,592,433.92","23,334,784.00",155.63,USD
META,META PLATFORMS INC CLASS A,Communication,"3,402,630,840.28",1.14,"3,402,630,840.28","20,069,782.00",169.54,USD
V,VISA INC CLASS A,Information Technology,"3,215,526,564.90",1.08,"3,215,526,564.90","14,592,814.00",220.35,USD
PG,PROCTER & GAMBLE,Consumer Staples,"2,942,812,808.82",0.99,"2,942,812,808.82","21,150,013.00",139.14,USD
HD,HOME DEPOT INC,Consumer Discretionary,"2,704,618,505.16",0.91,"2,704,618,505.16","9,136,916.00",296.01,USD
MA,MASTERCARD INC CLASS A,Information Technology,"2,693,287,821.36",0.90,"2,693,287,821.36","7,576,482.00",355.48,USD
CVX,CHEVRON CORP,Energy,"2,585,165,106.44",0.87,"2,585,165,106.44","15,877,442.00",162.82,USD
MRK,MERCK & CO INC,Health Care,"2,474,694,535.52",0.83,"2,474,694,535.52","22,628,882.00",109.36,USD
ABBV,ABBVIE INC,Health Care,"2,435,154,440.04",0.82,"2,435,154,440.04","15,783,993.00",154.28,USD
LLY,ELI LILLY,Health Care,"2,228,642,586.72",0.75,"2,228,642,586.72","7,038,856.00",316.62,USD
PEP,PEPSICO INC,Consumer Staples,"2,163,048,113.94",0.72,"2,163,048,113.94","12,296,334.00",175.91,USD
BAC,BANK OF AMERICA CORP,Financials,"2,131,058,274.51",0.71,"2,131,058,274.51","62,293,431.00",34.21,USD
